dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,reference,start-date,typology,address,address-text,description,notes,organisation,tree,tree-preservation-order,tree-preservation-order-tree,tree-species
tree,,7002000040,2012-06-29,,,No 3 of 2012,67,POINT (-0.563211 51.665293),tree,M6DV51ES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000041,2012-06-29,,,No 3 of 2012,67,POINT (-0.562856 51.665073),tree,M6DV52ES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000042,2012-06-29,,,No 3 of 2012,67,POINT (-0.561792 51.665798),tree,M6DV52ES07K01,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000043,2012-06-29,,,No 3 of 2012,67,POINT (-0.561667 51.665652),tree,M6DV52ES07K02,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000044,2012-06-29,,,No 3 of 2012,67,POINT (-0.561473 51.665389),tree,M6DV71ES07K00,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000045,2012-06-29,,,No 3 of 2012,67,POINT (-0.561404 51.665280),tree,M6DV71ES07K01,2012-06-29,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2012/003,,
tree,,7002000046,2012-08-03,,,No 5 of 2012,67,POINT (-0.653579 51.625010),tree,M7O531ES07K00,2012-08-02,geography,,Land at Woodchester Woodchester Park Knotty Green HP9 2TU,,,,,TPO/2012/005,,
tree,,7002000047,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.556975 51.596257),tree,M7O54HES07K00,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000048,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.555982 51.596145),tree,M7O562ES07K00,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000049,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.555983 51.596118),tree,M7O56GES07K00,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000050,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.555999 51.596092),tree,M7O56VES07K00,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000051,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.556000 51.596056),tree,M7O56WES07K00,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000052,2012-07-24,,,TPO 4 of 2012,67,POINT (-0.556015 51.596020),tree,M7O56WES07K01,2012-07-24,geography,,Land at Kingscote School 35 Oval Way Chalfont St Peter Gerrards Cross Buckinghamshire SL9 8PZ,,,,,TPO/2012/004,,
tree,,7002000053,2012-08-02,,,TPO No 6 of 2012,67,POINT (-0.556236 51.594512),tree,M7TSUUES07K00,2012-08-02,geography,,"Land at Stow Lodge, 28 Oval Way and Bancroft, 32 Oval Way Chalfont St Peter Gerrards Cross SL9 8QB",,,,,TPO/2012/006,,
tree,,7002000054,2012-08-02,,,TPO No 6 of 2012,67,POINT (-0.556694 51.594194),tree,M814XLES07K00,2012-08-02,geography,,"Land at Stow Lodge, 28 Oval Way and Bancroft, 32 Oval Way Chalfont St Peter Gerrards Cross SL9 8QB",,,,,TPO/2012/006,,
tree,,7002000055,2013-01-16,,,TPO No 3 of 2013,67,POINT (-0.598221 51.722753),tree,MDXTW1ES07K00,2013-01-16,geography,,Land at Chesham Campus Amersham and Wycombe College Lycrome Road Chesham HP5 3LA,,,,,TPO/2013/003,,
tree,,7002000056,2013-01-17,,,TPO No 4 of 2013,67,POINT (-0.650027 51.691006),tree,MDXTYBES07K00,2013-01-17,geography,,Land at Hyde Cottage Weedon Hill Hyde Heath Amersham HP6 5RN,,,,,TPO/2013/004,,
tree,,7002000057,2013-01-07,,,TPO No 1 of 2013,67,POINT (-0.551146 51.621084),tree,MG9ASUES07K00,2013-01-07,geography,,Land Adjacent To Eleanor House and Hampshire House Chalfont Centre For Epilepsy Chesham Lane Chalfont St Peter SL9 0RJ,,,,,TPO/2013/001,,
tree,,7002000058,2013-01-07,,,TPO No 1 of 2013,67,POINT (-0.550888 51.621018),tree,MG9HURES07K00,2013-01-07,geography,,Land Adjacent To Eleanor House and Hampshire House Chalfont Centre For Epilepsy Chesham Lane Chalfont St Peter SL9 0RJ,,,,,TPO/2013/001,,
tree,,7002000059,2013-01-07,,,TPO No 1 of 2013,67,POINT (-0.550817 51.620963),tree,MG9HVMES07K00,2013-01-07,geography,,Land Adjacent To Eleanor House and Hampshire House Chalfont Centre For Epilepsy Chesham Lane Chalfont St Peter SL9 0RJ,,,,,TPO/2013/001,,
tree,,7002000060,2013-01-11,,,TPO 2 of 2013,67,POINT (-0.563648 51.666549),tree,MGGM5BES07K00,2013-01-11,geography,,Land To The East Side Of Burtons Lane Little Chalfont (Known Locally As The Donkey Field),,,,,TPO/2013/002,,
tree,,7002000061,2013-02-11,,,TPO No 5 of 2013,67,POINT (-0.564106 51.593565),tree,MHUU2SES07K00,2013-02-11,geography,,Land at Haydon 85 Orchehill Avenue Chalfont St Peter Gerrards Cross SL9 8QH,,,,,TPO/2013/005,,
tree,,7002000062,2013-02-11,,,TPO No 5 of 2013,67,POINT (-0.563960 51.593600),tree,MHUU36ES07K00,2013-02-11,geography,,Land at Haydon 85 Orchehill Avenue Chalfont St Peter Gerrards Cross SL9 8QH,,,,,TPO/2013/005,,
tree,,7002000063,2013-02-11,,,TPO No 5 of 2013,67,POINT (-0.563843 51.593634),tree,MHUU3JES07K00,2013-02-11,geography,,Land at Haydon 85 Orchehill Avenue Chalfont St Peter Gerrards Cross SL9 8QH,,,,,TPO/2013/005,,
tree,,7002000064,2013-03-25,,,TPO No 6 of 2013,67,POINT (-0.585041 51.669137),tree,MJJS5LES07K00,2013-03-25,geography,,Land at 26 and 28 Orchard End Avenue Amersham HP7 9JP,,,,,TPO/2013/006,,
tree,,7002000065,2013-03-25,,,TPO No 6 of 2013,67,POINT (-0.585234 51.668951),tree,MJJS62ES07K00,2013-03-25,geography,,Land at 26 and 28 Orchard End Avenue Amersham HP7 9JP,,,,,TPO/2013/006,,
tree,,7002000066,2013-03-25,,,TPO No 6 of 2013,67,POINT (-0.585307 51.668924),tree,MJJS6JES07K00,2013-03-25,geography,,Land at 26 and 28 Orchard End Avenue Amersham HP7 9JP,,,,,TPO/2013/006,,
tree,,7002000067,2013-04-26,,,TPO No 7 of 2013,67,POINT (-0.627833 51.653288),tree,MLNNEJES07K00,2013-04-26,geography,,Land at Cherry Tree Farm House New Road Coleshill HP7 0LE,,,,,TPO/2013/007,,
tree,,7002000068,2013-04-26,,,TPO No 7 of 2013,67,POINT (-0.627797 51.653054),tree,MLNNEKES07K00,2013-04-26,geography,,Land at Cherry Tree Farm House New Road Coleshill HP7 0LE,,,,,TPO/2013/007,,
tree,,7002000069,2013-04-26,,,TPO No 7 of 2013,67,POINT (-0.626913 51.653124),tree,MLNNEKES07K01,2013-04-26,geography,,Land at Cherry Tree Farm House New Road Coleshill HP7 0LE,,,,,TPO/2013/007,,
tree,,7002000070,2013-04-26,,,TPO No 7 of 2013,67,POINT (-0.627151 51.652902),tree,MLNNELES07K00,2013-04-26,geography,,Land at Cherry Tree Farm House New Road Coleshill HP7 0LE,,,,,TPO/2013/007,,
tree,,7002000071,2013-04-26,,,TPO No 7 of 2013,67,POINT (-0.627240 51.652804),tree,MLNNELES07K01,2013-04-26,geography,,Land at Cherry Tree Farm House New Road Coleshill HP7 0LE,,,,,TPO/2013/007,,
tree,,7002000072,2013-08-22,,,Tree Preservation Order No 11 of 2013,67,POINT (-0.617258 51.688143),tree,MRVHDHES07K00,2013-08-22,geography,,Land at Ruthwell Oakway Chesham Bois Amersham HP6 5PQ,,,,,TPO/2013/011,,
tree,,7002000073,2013-08-21,,,TPO 10 of 2013,67,POINT (-0.655605 51.624376),tree,MRVN3ZES07K00,2013-08-21,geography,,Land at Holcombe 6 Woodchester Park Knotty Green Beaconsfield HP9 2TU,,,,,TPO/2013/010,,
tree,,7002000074,2013-08-21,,,TPO 10 of 2013,67,POINT (-0.655609 51.624242),tree,MRVN4BES07K00,2013-08-21,geography,,Land at Holcombe 6 Woodchester Park Knotty Green Beaconsfield HP9 2TU,,,,,TPO/2013/010,,
tree,,7002000075,2013-08-21,,,TPO 10 of 2013,67,POINT (-0.655552 51.624241),tree,MRVN4CES07K00,2013-08-21,geography,,Land at Holcombe 6 Woodchester Park Knotty Green Beaconsfield HP9 2TU,,,,,TPO/2013/010,,
tree,,7002000076,2013-08-22,,,Tree Preservation Order No 11 of 2013,67,POINT (-0.616813 51.688021),tree,MRXHUIES07K00,2013-08-22,geography,,Land at Ruthwell Oakway Chesham Bois Amersham HP6 5PQ,,,,,TPO/2013/011,,
tree,,7002000077,2013-10-22,,,TPO No 15 of 2013,67,POINT (-0.652251 51.755351),tree,MV2G7YES07K00,2013-10-22,geography,,Land at The Bury Cholesbury Road Cholesbury HP23 6ND,,,,,TPO/2013/015,,
tree,,7002000078,2013-12-16,,,No 16 of 2013,67,POINT (-0.635430 51.644357),tree,MXWLR5ES07K00,2013-12-16,geography,,Land at Chalk Pit House Barrack Hill Coleshill HP7 0LW,,,,,TPO/2013/016,,
tree,,7002000079,2013-12-16,,,No 16 of 2013,67,POINT (-0.635217 51.644247),tree,MXWLRDES07K00,2013-12-16,geography,,Land at Chalk Pit House Barrack Hill Coleshill HP7 0LW,,,,,TPO/2013/016,,
tree,,7002000080,2014-01-15,,,TPO No 1 of 2014,67,POINT (-0.605328 51.669640),tree,MZEA7TES07K00,2014-01-15,geography,,Land at Brynawell Beech Grove Amersham HP7 0AZ,,,,,TPO/2014/001,,
tree,,7002000081,2014-02-10,,,TPO 2 of 2014,67,POINT (-0.597635 51.686005),tree,N0RWFPES07K00,2014-02-10,geography,,Land at 100 Bois Lane Chesham Bois Amersham HP6 6DE,,,,,TPO/2014/002,,
tree,,7002000082,2014-02-14,,,No 3 of 2014,67,POINT (-0.554238 51.679625),tree,N0Y1IAES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000083,2014-02-14,,,No 3 of 2014,67,POINT (-0.554240 51.679571),tree,N0Y1IQES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000084,2014-02-14,,,No 3 of 2014,67,POINT (-0.554212 51.679517),tree,N0Y1IRES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000085,2014-02-14,,,No 3 of 2014,67,POINT (-0.554141 51.679498),tree,N0Y1ISES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000086,2014-02-14,,,No 3 of 2014,67,POINT (-0.554068 51.679515),tree,N0Y1ITES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000087,2014-02-14,,,No 3 of 2014,67,POINT (-0.554024 51.679532),tree,N0Y1ITES07K01,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000088,2014-02-14,,,No 3 of 2014,67,POINT (-0.553966 51.679549),tree,N0Y1IUES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000089,2014-02-14,,,No 3 of 2014,67,POINT (-0.553893 51.679567),tree,N0Y1IVES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000090,2014-02-14,,,No 3 of 2014,67,POINT (-0.553805 51.679592),tree,N0Y1IWES07K00,2014-02-14,geography,,Land at Church Of St Mary Magdalene Latimer Camp Road Latimer,,,,,TPO/2014/003,,
tree,,7002000091,2014-05-06,,,No 4 of 2014,67,POINT (-0.604471 51.686203),tree,N3T6RCES07K00,2014-05-06,geography,,Land at 57 Green Lane Chesham Bois Amersham HP6 5LQ,,,,,TPO/2014/004,,
tree,,7002000092,2014-05-28,,,TPO No 5 of 2014,67,POINT (-0.552738 51.661352),tree,N6AJHGES07K00,2014-05-28,geography,,Land at Ash Cottage Long Walk Little Chalfont Chalfont St Giles HP8 4AW,,,,,TPO/2014/005,,
tree,,7002000093,2014-06-17,,,TPO No 6 of 2014,67,POINT (-0.612345 51.708767),tree,N79H8SES07K00,2014-06-17,geography,,Land at 1-12 Albany Gate Chesham HP5 2HE,,,,,TPO/2014/006,,
tree,,7002000094,2014-10-06,,,TPO No 9 of 2014,67,POINT (-0.595107 51.614901),tree,ND0RXLES07K00,2014-10-06,geography,,Land at Oak Tree Puers Lane Jordans Beaconsfield HP9 2TE,,,,,TPO/2014/009,,
tree,,7002000095,2014-11-25,,,Tree Preservation Order No 10 of 2014,67,POINT (-0.611306 51.617944),tree,NFLO7YES07K00,2014-11-25,geography,,Land at 41 Gurnells Road Seer Green Beaconsfield HP9 2XJ,,,,,TPO/2014/010,,
tree,,7002000096,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589207 51.679762),tree,NGBASCES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000097,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589122 51.679734),tree,NGBBDLES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000098,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589297 51.679682),tree,NGBBG0ES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000099,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589270 51.679610),tree,NGBBJZES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000100,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589416 51.679567),tree,NGBBLLES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000101,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589490 51.679505),tree,NGBBNGES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000102,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589479 51.679397),tree,NGBBPHES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000103,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589668 51.679363),tree,NGBBRMES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000104,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589554 51.679317),tree,NGBBTGES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000105,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589728 51.679301),tree,NGBBYEES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000106,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589628 51.679255),tree,NGBCDMES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000107,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589802 51.679239),tree,NGBCF9ES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000108,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589862 51.679185),tree,NGBCHYES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000109,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589747 51.679148),tree,NGBCJQES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000110,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589936 51.679123),tree,NGBCLHES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
tree,,7002000111,2014-12-09,,,Tree Preservation Order No 11 of 2014,67,POINT (-0.589822 51.679086),tree,NGBCS2ES07K00,2014-12-09,geography,,Land at Springett Place Amersham,,,,,TPO/2014/011,,
